Date,Adj Close,Close,High,Low,Open,Volume
,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO
2021-07-02,80593.6484375,81150.953125,81499.953125,80590.046875,81000.0,277
2021-07-05,80301.953125,80857.25,81755.1484375,80610.1484375,81200.0,450
2021-07-06,79872.7265625,80425.046875,81300.0,80321.0,80950.1484375,406
2021-07-07,80195.0,80749.546875,81300.0,80441.5,80450.046875,449
2021-07-08,79867.2578125,80419.546875,81267.953125,80117.8515625,81200.0,261
2021-07-09,79430.9921875,79980.25,80663.1015625,79865.0,80455.8515625,806
2021-07-12,79640.7265625,80191.453125,80567.796875,79901.046875,79991.0,1029
2021-07-13,82563.9140625,83134.8515625,83400.0,80124.203125,80378.8515625,2795
2021-07-14,82231.46875,82800.1015625,83321.296875,82328.6484375,83000.6484375,860
2021-07-15,80966.59375,81526.5,83200.1015625,81137.8515625,82999.796875,426
2021-07-16,81818.453125,82384.25,82600.0,81374.703125,82107.0,610
2021-07-19,81657.734375,82222.3984375,82900.0,81720.1484375,81990.0,1018
2021-07-20,81056.7578125,81617.25,82693.1484375,81383.8515625,82250.0,291
2021-07-22,80971.4140625,81531.3515625,82402.6015625,81295.203125,82210.1015625,257
2021-07-23,80584.6640625,81141.8984375,82453.1015625,81000.0,82453.1015625,156
2021-07-26,80320.5859375,80876.0,81560.046875,80746.8515625,81160.796875,211
2021-07-27,79590.828125,80141.203125,81384.046875,79986.6484375,81288.546875,389
2021-07-28,79380.6796875,79929.6015625,80529.703125,79200.1484375,80354.8515625,484
2021-07-29,79113.734375,79660.796875,80250.0,79500.0,79800.0,403
2021-07-30,79362.953125,79911.75,81116.203125,79702.046875,80148.1015625,403
2021-08-02,79847.0625,80399.203125,81300.0,80188.296875,80874.953125,576
2021-08-03,80460.9453125,81017.3515625,81135.796875,80560.0,80650.0,331
2021-08-04,80058.8671875,80469.203125,81548.25,80242.453125,81408.3984375,385
2021-08-05,79343.7890625,79750.453125,80900.0,79501.0,80899.703125,433
2021-08-06,78756.3984375,79160.046875,80126.796875,79013.953125,79940.0,670
2021-08-09,79605.8984375,80013.8984375,82600.0,79146.1015625,79600.0,3641
2021-08-10,78428.0390625,78830.0,80931.1484375,78250.0,80200.0,1091
2021-08-11,77191.265625,77586.8984375,79868.0,77369.703125,78850.1015625,1130
2021-08-12,77813.7265625,78212.546875,78700.8515625,77610.0,78289.8515625,577
2021-08-13,78416.6875,78818.6015625,79200.0,78600.0,78600.0,465
2021-08-16,78256.0546875,78657.1484375,79500.0,78191.8984375,79500.0,395
2021-08-17,78310.4296875,78711.796875,79149.953125,77900.25,78309.296875,407
2021-08-18,78948.96875,79353.6015625,79499.0,78921.0,79198.6484375,310
2021-08-20,77715.6796875,78114.0,79278.046875,77810.0,79278.046875,465
2021-08-23,75794.7265625,76183.203125,79000.0,75975.0,79000.0,1271
2021-08-24,76760.2734375,77153.703125,77396.046875,76052.5,76200.0,596
2021-08-25,76673.40625,77066.3984375,77999.796875,76729.3515625,77694.453125,533
